id,ad_title,city,state,country,currency_symbol,category,subcategory,skuid,mrp,sellingprice,countryoforigin,manufacturername,packerdetails,additionaldescription,searchkeywords,keyfeatures,videourl,quantity,postalcode,salespackage,brand,condition,isvariant,updated_at_product,rejection_reason,images,attributes_specification
64843,aFe Power P/F; 2X/7290069M (BLACK),,,,USD,Electronics,CameraPhotography,AFE28-10213M,36.61,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:58:45 GMT+0530 (India Standard Time),,,{}
64757,A-1 PRODUCTS Hose End #6 45 Degree Swivel,,Maharashtra,India,USD,Electronics,CameraPhotography,AAA04506,15.99,15.99,USA,A1P04506,Auto Mobile parts,Fitting - Hose End - 200 Series - 45 Degree - 6 AN Hose to 6 AN Female - Aluminum - Blue / Red Anodized - Each,"fitting, hose end, 200 series, 45 degree, 6 AN hose, 6 AN female, aluminum, blue, red anodized, each","Easily connect your hoses at a 45-degree angle using our high-quality 200 series hose end fitting. Featuring 6 AN hose to 6 AN female connections, this fitting is made of aluminum and is available in blue or red anodized finishes",Anything,3,,Parts,A-1 PRODUCTS,New,Simple,Thu Dec 28 2023 17:39:49 GMT+0530 (India Standard Time),,1703765390856_AAA04506.jpg,{}
64844,aFe Power MAGNUM SHIELD PREFILTER (SET OF 2),,,,USD,Electronics,CameraPhotography,AFE28-10253M,41.10,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64867,aFe Power 1113 F250/F350 POWERSTROKE DIESEL V86.7L AIR FILTER PRO DRY S,,,,USD,Electronics,CameraPhotography,AFE31-80202,87.39,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64877,aFe Power 11C GENESIS/HYUNDAI/KIA CARBON CABIN AIR FILTER,,,,USD,Electronics,CameraPhotography,AFE35-10012C,20.26,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64857,aFe Power 1620 SORENTO OE REPLACEMENT CARBON CABIN AIR FILTER,,,,USD,Electronics,CameraPhotography,AFE35-10014C,20.26,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64888,aFe Power 11C DURANGO/1121 CHEROKEE CARBON CABIN AIR FILTER,,,,USD,Electronics,CameraPhotography,AFE35-10020C,20.26,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64887,aFe Power 1321 INFINITI OE REPLACEMENT CARBON CABIN AIR FILTER,,,,USD,Electronics,CameraPhotography,AFE35-10022C,26.44,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64884,aFe Power 17C AUDI/PORSCHE VARIOUS MODELS POWER CARBON CABIN AIR FILTER,,,,USD,Electronics,CameraPhotography,AFE35-10027C,26.44,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64883,aFe Power 15C AUDI/VOLKSWAGEN VARIOUS MODELS POWER CARBON CABIN AIR FILTER,,,,USD,Electronics,CameraPhotography,AFE35-10031C,26.44,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:56:10 GMT+0530 (India Standard Time),,,{}
64891,aFe Power PRM BEVERAGE COOLER BLACK,,,,USD,Electronics,CameraPhotography,AFE40-10121,7.51,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:58:55 GMT+0530 (India Standard Time),,,{}
66139,aFe Power 1414 CAYMAN S/1314 BOXSTER S (981) H63.4L  304 SS EXH TIP UPGRADE CARBON FI,,,,USD,Electronics,CameraPhotography,AFE49C36413-C,603.70,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:58:55 GMT+0530 (India Standard Time),,1703845618242_desktop.jpg,{}
66221,aFe Power 99.503 F250/F350 POWERSTROKE DIESEL V87.3L AIR INTAKE SYSTEM PRO DRY S,,,,USD,Electronics,CameraPhotography,AFE51-10062,330.70,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:59:08 GMT+0530 (India Standard Time),,1703845619030_desktop.jpg,{}
66131,aFe Power 1919 RAM TRUCKS V85.7L MUFFLER UPGRADE PIPE,,,,USD,Electronics,CameraPhotography,AFE49C42076,302.74,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,aFe Power,New,Simple,Fri Dec 29 2023 15:59:08 GMT+0530 (India Standard Time),,1703845618555_desktop.jpg,{}
